 ID,PARAM,Date,Concentration,SYM
08MH024,3,1966-06-11,23,
08MH024,3,1966-07-11,21,
08MH024,3,1966-08-11,20,S
08MH024,3,1966-09-11,20,
08MH024,3,1966-10-11,21,
08MH024,3,1966-11-11,22,
08MH024,3,1966-12-11,24,S
08MH024,3,13-11-1966,26,
08MH024,3,14-11-1966,30,
08MH024,3,15-11-1966,34,
08MH024,3,16-11-1966,23,S
08MH024,3,17-11-1966,17,
08MH024,3,18-11-1966,15,
08MH024,3,19-11-1966,15,S
08MH024,3,20-11-1966,15,
08MH024,3,21-11-1966,15,
08MH024,3,22-11-1966,15,
08MH024,3,23-11-1966,16,S
08MH024,3,24-11-1966,18,
08MH024,3,25-11-1966,38,
08MH024,3,26-11-1966,36,S
08MH024,3,27-11-1966,29,
08MH024,3,28-11-1966,33,
08MH024,3,29-11-1966,40,
08MH024,3,30-11-1966,22,S
08MH024,3,1966-01-12,18,
08MH024,3,1966-02-12,15,S
08MH024,3,1966-03-12,14,
08MH024,3,1966-04-12,13,
08MH024,3,1966-05-12,11,S
08MH024,3,1966-06-12,10,
08MH024,3,1966-07-12,10,
08MH024,3,1966-08-12,10,
08MH024,3,1966-09-12,10,S
08MH024,3,1966-10-12,10,
08MH024,3,1966-11-12,11,
08MH024,3,1966-12-12,14,
08MH024,3,13-12-1966,27,S
08MH024,3,14-12-1966,39,
08MH024,3,15-12-1966,70,
08MH024,3,16-12-1966,95,S
08MH024,3,17-12-1966,105,
08MH024,3,18-12-1966,120,
08MH024,3,19-12-1966,120,S
08MH024,3,20-12-1966,85,S
08MH024,3,21-12-1966,60,S
08MH024,3,22-12-1966,45,
08MH024,3,23-12-1966,28,S
08MH024,3,24-12-1966,20,
08MH024,3,25-12-1966,17,
08MH024,3,26-12-1966,13,S
08MH024,3,27-12-1966,13,
08MH024,3,28-12-1966,13,
08MH024,3,29-12-1966,13,
08MH024,3,30-12-1966,13,S
08MH024,3,31-12-1966,13,
08MH024,3,1967-01-01,15,
08MH024,3,1967-02-01,15,
08MH024,3,1967-03-01,17,S
08MH024,3,1967-04-01,17,
08MH024,3,1967-05-01,15,
08MH024,3,1967-06-01,15,
08MH024,3,1967-07-01,14,
08MH024,3,1967-08-01,12,S
08MH024,3,1967-09-01,18,
08MH024,3,1967-10-01,20,S
08MH024,3,1967-11-01,20,
08MH024,3,1967-12-01,20,
08MH024,3,13-01-1967,20,
08MH024,3,14-01-1967,18,
08MH024,3,15-01-1967,20,
08MH024,3,16-01-1967,19,S
08MH024,3,17-01-1967,10,S
08MH024,3,18-01-1967,8,
08MH024,3,19-01-1967,8,
08MH024,3,20-01-1967,8,
08MH024,3,21-01-1967,8,
08MH024,3,22-01-1967,8,S
08MH024,3,23-01-1967,9,
08MH024,3,24-01-1967,12,
08MH024,3,25-01-1967,14,
08MH024,3,26-01-1967,15,
08MH024,3,27-01-1967,16,S
08MH024,3,28-01-1967,18,
08MH024,3,29-01-1967,19,
08MH024,3,30-01-1967,19,S
08MH024,3,31-01-1967,17,
08MH024,3,1967-01-02,15,S
08MH024,3,1967-02-02,9,S
08MH024,3,1967-03-02,10,
08MH024,3,1967-04-02,12,
08MH024,3,1967-05-02,15,
08MH024,3,1967-06-02,19,S
08MH024,3,1967-07-02,15,
08MH024,3,1967-08-02,5,
08MH024,3,1967-09-02,5,
08MH024,3,1967-10-02,5,
08MH024,3,1967-11-02,5,S
08MH024,3,1967-12-02,4,
08MH024,3,13-02-1967,4,
08MH024,3,14-02-1967,4,
08MH024,3,15-02-1967,4,
08MH024,3,16-02-1967,5,
08MH024,3,17-02-1967,5,
08MH024,3,18-02-1967,5,
08MH024,3,19-02-1967,6,S
08MH024,3,20-02-1967,8,S
08MH024,3,21-02-1967,8,
08MH024,3,22-02-1967,6,
08MH024,3,23-02-1967,6,
08MH024,3,24-02-1967,6,S
08MH024,3,25-02-1967,6,
08MH024,3,26-02-1967,5,
08MH024,3,27-02-1967,5,
08MH024,3,28-02-1967,5,S
08MH024,3,1967-01-03,10,S
08MH024,3,1967-02-03,13,
08MH024,3,1967-03-03,18,S
08MH024,3,1967-04-03,17,
08MH024,3,1967-05-03,14,S
08MH024,3,1967-06-03,13,
08MH024,3,1967-07-03,13,
08MH024,3,1967-08-03,12,
08MH024,3,1967-09-03,11,S
08MH024,3,1967-10-03,13,S
08MH024,3,1967-11-03,14,
08MH024,3,1967-12-03,14,
08MH024,3,13-03-1967,14,
08MH024,3,14-03-1967,15,
08MH024,3,15-03-1967,15,S
08MH024,3,16-03-1967,15,
08MH024,3,17-03-1967,14,
08MH024,3,18-03-1967,13,
08MH024,3,19-03-1967,12,
08MH024,3,20-03-1967,10,S
08MH024,3,21-03-1967,10,
08MH024,3,22-03-1967,11,
08MH024,3,23-03-1967,11,S
08MH024,3,24-03-1967,13,
08MH024,3,25-03-1967,15,S
08MH024,3,26-03-1967,17,
08MH024,3,27-03-1967,22,
08MH024,3,28-03-1967,29,S
08MH024,3,29-03-1967,26,
08MH024,3,30-03-1967,22,S
08MH024,3,31-03-1967,20,S
08MH024,3,1967-01-04,20,
08MH024,3,1967-02-04,21,
08MH024,3,1967-03-04,22,S
08MH024,3,1967-04-04,20,
08MH024,3,1967-05-04,17,
08MH024,3,1967-06-04,17,S
08MH024,3,1967-07-04,38,S
08MH024,3,1967-08-04,41,
08MH024,3,1967-09-04,38,S
08MH024,3,1967-10-04,39,
08MH024,3,1967-11-04,44,S
08MH024,3,1967-12-04,57,S
08MH024,3,13-04-1967,78,
08MH024,3,14-04-1967,104,
08MH024,3,15-04-1967,120,
08MH024,3,16-04-1967,141,
08MH024,3,17-04-1967,153,S
08MH024,3,18-04-1967,132,
08MH024,3,19-04-1967,122,
08MH024,3,20-04-1967,112,
08MH024,3,21-04-1967,101,S
08MH024,3,22-04-1967,96,
08MH024,3,23-04-1967,91,
08MH024,3,24-04-1967,86,S
08MH024,3,25-04-1967,120,
08MH024,3,26-04-1967,196,S
08MH024,3,27-04-1967,223,S
08MH024,3,28-04-1967,258,
08MH024,3,29-04-1967,302,
08MH024,3,30-04-1967,343,S
08MH024,3,1967-01-05,328,S
08MH024,3,1967-02-05,311,S
08MH024,3,1967-03-05,295,S
08MH024,3,1967-04-05,329,S
08MH024,3,1967-05-05,316,S
08MH024,3,1967-06-05,311,S
08MH024,3,1967-07-05,277,S
08MH024,3,1967-08-05,303,S
08MH024,3,1967-09-05,316,S
08MH024,3,1967-10-05,423,S
08MH024,3,1967-11-05,626,S
08MH024,3,1967-12-05,561,S
08MH024,3,13-05-1967,384,S
08MH024,3,14-05-1967,293,S
08MH024,3,15-05-1967,257,S
08MH024,3,16-05-1967,240,S
08MH024,3,17-05-1967,265,S
08MH024,3,18-05-1967,349,S
08MH024,3,19-05-1967,385,S
08MH024,3,20-05-1967,416,S
08MH024,3,21-05-1967,467,S
08MH024,3,22-05-1967,472,S
08MH024,3,23-05-1967,454,S
08MH024,3,24-05-1967,500,S
08MH024,3,25-05-1967,554,S
08MH024,3,26-05-1967,558,S
08MH024,3,27-05-1967,534,S
08MH024,3,28-05-1967,492,S
08MH024,3,29-05-1967,422,S
08MH024,3,30-05-1967,347,S
08MH024,3,31-05-1967,351,S
08MH024,3,1967-01-06,337,S
08MH024,3,1967-02-06,391,S
08MH024,3,1967-03-06,476,S
08MH024,3,1967-04-06,544,S
08MH024,3,1967-05-06,567,S
08MH024,3,1967-06-06,537,S
08MH024,3,1967-07-06,513,S
08MH024,3,1967-08-06,432,S
08MH024,3,1967-09-06,378,S
08MH024,3,1967-10-06,416,S
08MH024,3,1967-11-06,456,S
08MH024,3,1967-12-06,437,S
08MH024,3,13-06-1967,397,S
