,Concentration,Date,lnSSC_predicted,SSC_predicted,ln_Concentration,Value
353,,1984-12-19,,,,1280.0
354,,1984-12-20,,,,1230.0
355,,1984-12-21,,,,1220.0
356,,1984-12-22,,,,1230.0
357,,1984-12-23,,,,1100.0
358,,1984-12-24,,,,1080.0
359,,1984-12-25,,,,1110.0
360,,1984-12-26,,,,1140.0
361,,1984-12-27,,,,1140.0
362,,1984-12-28,,,,1140.0
363,,1984-12-29,,,,986.0
364,,1984-12-30,,,,924.0
365,,1984-12-31,,,,900.0
366,,1985-01-01,,,,1000.0
367,,1985-01-02,,,,1100.0
368,,1985-01-03,,,,1200.0
369,,1985-01-04,,,,1280.0
370,,1985-01-05,,,,1340.0
371,,1985-01-06,,,,1400.0
372,,1985-01-07,,,,1320.0
373,,1985-01-08,,,,1370.0
374,,1985-01-09,,,,1410.0
375,,1985-01-10,,,,1310.0
376,,1985-01-11,,,,1410.0
377,,1985-01-12,,,,1310.0
378,,1985-01-13,,,,1320.0
379,,1985-01-14,,,,1360.0
380,,1985-01-15,,,,1350.0
381,,1985-01-16,,,,1340.0
382,,1985-01-17,,,,1270.0
383,,1985-01-18,,,,1390.0
384,,1985-01-19,,,,1390.0
385,,1985-01-20,,,,1440.0
386,,1985-01-21,,,,1410.0
387,,1985-01-22,,,,1360.0
388,,1985-01-23,,,,1390.0
389,,1985-01-24,,,,1390.0
390,,1985-01-25,,,,1370.0
391,,1985-01-26,,,,1300.0
392,,1985-01-27,,,,1290.0
393,,1985-01-28,,,,1240.0
394,,1985-01-29,,,,1380.0
395,,1985-01-30,,,,1320.0
396,,1985-01-31,,,,1370.0
397,,1985-02-01,,,,1250.0
398,,1985-02-02,,,,1200.0
399,25.0,1985-02-03,3.330544500000002,62.122446600000174,3.2188758248682006,1240.0
400,,1985-02-04,,,,1160.0
401,,1985-02-05,,,,1230.0
402,,1985-02-06,,,,1050.0
403,,1985-02-07,,,,1220.0
404,,1985-02-08,,,,1210.0
405,,1985-02-09,,,,1190.0
406,,1985-02-10,,,,1150.0
407,,1985-02-11,,,,1200.0
408,,1985-02-12,,,,1210.0
409,,1985-02-13,,,,1210.0
410,,1985-02-14,,,,1180.0
411,,1985-02-15,,,,1050.0
412,,1985-02-16,,,,1130.0
413,,1985-02-17,,,,1110.0
414,,1985-02-18,,,,1050.0
415,,1985-02-19,,,,1050.0
416,,1985-02-20,,,,1060.0
417,,1985-02-21,,,,1070.0
418,,1985-02-22,,,,1180.0
419,,1985-02-23,,,,1140.0
420,,1985-02-24,,,,1430.0
421,,1985-02-25,,,,1330.0
422,,1985-02-26,,,,1320.0
423,,1985-02-27,,,,1250.0
424,,1985-02-28,,,,1180.0
425,,1985-03-01,,,,1280.0
426,,1985-03-02,,,,1230.0
427,,1985-03-03,,,,1210.0
428,,1985-03-04,,,,1220.0
429,,1985-03-05,,,,1160.0
430,,1985-03-06,,,,1130.0
431,100.0,1985-03-07,4.273138349999995,143.9896553749997,4.605170185988092,1100.0
432,,1985-03-08,,,,1090.0
433,,1985-03-09,,,,1180.0
434,,1985-03-10,,,,1060.0
435,,1985-03-11,,,,1100.0
436,,1985-03-12,,,,1280.0
437,,1985-03-13,,,,1320.0
438,,1985-03-14,,,,1220.0
439,,1985-03-15,,,,1140.0
440,12.0,1985-03-16,4.034623425000004,121.91652875000037,2.4849066497880004,1050.0
441,,1985-03-17,,,,1200.0
442,,1985-03-18,,,,1290.0
443,,1985-03-19,,,,1210.0
444,,1985-03-20,,,,1100.0
445,,1985-03-21,,,,1080.0
446,,1985-03-22,,,,1080.0
447,,1985-03-23,,,,1010.0
448,,1985-03-24,,,,1130.0
449,,1985-03-25,,,,1290.0
450,,1985-03-26,,,,1210.0
451,,1985-03-27,,,,1350.0
452,,1985-03-28,,,,1240.0
453,,1985-03-29,,,,1220.0
454,,1985-03-30,,,,1260.0
455,,1985-03-31,,,,1340.0
456,,1985-04-01,,,,1340.0
457,,1985-04-02,,,,1520.0
458,,1985-04-03,,,,1720.0
459,,1985-04-04,,,,1640.0
460,,1985-04-05,,,,1640.0
461,,1985-04-06,,,,1610.0
462,,1985-04-07,,,,1580.0
463,,1985-04-08,,,,1720.0
464,,1985-04-09,,,,1930.0
465,,1985-04-10,,,,2090.0
466,,1985-04-11,,,,2220.0
467,,1985-04-12,,,,2570.0
468,,1985-04-13,,,,2590.0
469,,1985-04-14,,,,2850.0
470,,1985-04-15,,,,3090.0
471,,1985-04-16,,,,3220.0
472,,1985-04-17,,,,3400.0
473,,1985-04-18,,,,3490.0
474,,1985-04-19,,,,3570.0
475,,1985-04-20,,,,3460.0
476,,1985-04-21,,,,3380.0
477,,1985-04-22,,,,3250.0
478,,1985-04-23,,,,3170.0
479,,1985-04-24,,,,3120.0
480,,1985-04-25,,,,2980.0
481,,1985-04-26,,,,2780.0
482,,1985-04-27,,,,3170.0
483,,1985-04-28,,,,3160.0
484,,1985-04-29,,,,2950.0
485,,1985-04-30,,,,2810.0
486,,1985-05-01,,,,2770.0
487,,1985-05-02,,,,2640.0
488,,1985-05-03,,,,2700.0
489,,1985-05-04,,,,2790.0
490,,1985-05-05,,,,3040.0
491,,1985-05-06,,,,3370.0
492,,1985-05-07,,,,3790.0
493,,1985-05-08,,,,3980.0
494,,1985-05-09,,,,3900.0
495,,1985-05-10,,,,3830.0
496,,1985-05-11,,,,3840.0
497,,1985-05-12,,,,3820.0
498,,1985-05-13,,,,3810.0
499,,1985-05-14,,,,3770.0
500,,1985-05-15,,,,3710.0
501,,1985-05-16,,,,3820.0
502,,1985-05-17,,,,4240.0
503,,1985-05-18,,,,4860.0
504,,1985-05-19,,,,5360.0
505,,1985-05-20,,,,5880.0
506,,1985-05-21,,,,6530.0
507,,1985-05-22,,,,7250.0
508,,1985-05-23,,,,7880.0
509,,1985-05-24,,,,8470.0
510,,1985-05-25,,,,9100.0
511,,1985-05-26,,,,9640.0
512,,1985-05-27,,,,10300.0
513,,1985-05-28,,,,10900.0
514,,1985-05-29,,,,11000.0
515,,1985-05-30,,,,10600.0
516,,1985-05-31,,,,10200.0
517,,1985-06-01,,,,9970.0
518,,1985-06-02,,,,9990.0
519,,1985-06-03,,,,10000.0
520,,1985-06-04,,,,10300.0
521,,1985-06-05,,,,10400.0
522,,1985-06-06,,,,10300.0
523,,1985-06-07,,,,10600.0
524,,1985-06-08,,,,10900.0
525,,1985-06-09,,,,10400.0
526,,1985-06-10,,,,9760.0
527,,1985-06-11,,,,9210.0
528,,1985-06-12,,,,8760.0
529,,1985-06-13,,,,8330.0
530,,1985-06-14,,,,7980.0
531,,1985-06-15,,,,7920.0
532,,1985-06-16,,,,7930.0
533,,1985-06-17,,,,7930.0
534,,1985-06-18,,,,8030.0
535,,1985-06-19,,,,8090.0
536,,1985-06-20,,,,7960.0
537,,1985-06-21,,,,7700.0
538,,1985-06-22,,,,7620.0
539,,1985-06-23,,,,7730.0
